family,sae_key,sae_side,source,maemm,engine,run_tag,stratum,n,n_features,gate,k,ratio_median,ratio_mean,ratio_se_iid,item_fired,feat_firing
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,1,64,128,1.682812,32,0.355714,0.418972,0.021981,0.077026,0.429688
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,1,64,128,1.682812,64,0.398844,0.45987,0.022948,0.077026,0.429688
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,2,64,128,1.682812,1,0.144564,0.204992,0.019772,0.116089,0.601562
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,2,64,128,1.682812,2,0.193035,0.261536,0.020905,0.116089,0.601562
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,2,64,128,1.682812,4,0.255315,0.31464,0.021538,0.116089,0.601562
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,2,64,128,1.682812,8,0.306054,0.362098,0.022043,0.116089,0.601562
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,2,64,128,1.682812,16,0.358687,0.406331,0.022597,0.116089,0.601562
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,2,64,128,1.682812,32,0.399319,0.449006,0.023194,0.116089,0.601562
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,2,64,128,1.682812,64,0.435731,0.487631,0.023854,0.116089,0.601562
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,3,64,128,1.682812,1,0.313209,0.47962,0.033285,0.444458,0.828125
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,3,64,128,1.682812,2,0.389259,0.544302,0.03357,0.444458,0.828125
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,3,64,128,1.682812,4,0.445188,0.598858,0.033651,0.444458,0.828125
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,3,64,128,1.682812,8,0.505148,0.645282,0.033495,0.444458,0.828125
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,3,64,128,1.682812,16,0.543418,0.685306,0.03337,0.444458,0.828125
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,3,64,128,1.682812,32,0.620598,0.721267,0.033267,0.444458,0.828125
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-10_rl-8x2048-full@vllm:mu-none,qwen36-27b/2026-09-10_rl-8x2048-full,vllm,mu-none,3,64,128,1.682812,64,0.668748,0.75067,0.033145,0.444458,0.828125
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,,64,512,1.682812,1,0.270899,0.326694,0.010477,0.226471,0.816406
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,,64,512,1.682812,2,0.334383,0.385902,0.010922,0.226471,0.816406
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,,64,512,1.682812,4,0.401487,0.439833,0.01132,0.226471,0.816406
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,,64,512,1.682812,8,0.451856,0.48822,0.011684,0.226471,0.816406
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,,64,512,1.682812,16,0.5006,0.532383,0.012122,0.226471,0.816406
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,,64,512,1.682812,32,0.540683,0.571797,0.012529,0.226471,0.816406
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,,64,512,1.682812,64,0.580568,0.610606,0.012976,0.226471,0.816406
