key,value,se,lo,hi,n,status,run,source,date,note
ood.shell.base.bpb,0.5522,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bits per byte of the arm's own text under the untrained base (precompute/nll.py)
ood.shell.ex.lid,n/m,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,code_like not measurable on a rollout; rate 0.004 vs ceiling 0.026 on the arm's own corpus windows
ood.shell.corp10.lid,0.026,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"the classifier's rate on the arm's OWN corpus top-1 windows, i.e. its ceiling"
ood.sql.diff.cos.bo8,-0.0153,0.0068,-0.0285,-0.0021,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bo8 centred minus own-domain corpus top-1; corpus at 10M
ood.sql.diff.verdict,reversed,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"three-state verdict on the bo8 pair, 10,000-resample percentile CI"
ood.sql.ex.cos.bo8,0.7008,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"Exemplifier bo8, centred both sides"
ood.sql.corp10.cos,0.7161,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,
ood.sql.corp10.mtok,10,,,,,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,the size the arm's own scan reached
ood.sql.base.cos.bo8,0.2397,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,untrained base under the same injection (2026-09-16_base-control@vllm:paper0923)
ood.sql.base.bpb,0.4527,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bits per byte of the arm's own text under the untrained base (precompute/nll.py)
ood.sql.ex.lid,n/m,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,code_like not measurable on a rollout; rate 0.004 vs ceiling 0.010 on the arm's own corpus windows
ood.sql.corp10.lid,0.010,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"the classifier's rate on the arm's OWN corpus top-1 windows, i.e. its ceiling"
ood.en.diff.cos.bo8,0.2420,0.0052,0.2318,0.2522,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bo8 centred minus own-domain corpus top-1; corpus at 10M
ood.en.diff.verdict,exceeds,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"three-state verdict on the bo8 pair, 10,000-resample percentile CI"
ood.en.ex.cos.bo8,0.8277,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"Exemplifier bo8, centred both sides"
ood.en.corp10.cos,0.5857,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,
ood.en.corp10.mtok,10,,,,,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,the size the arm's own scan reached
ood.en.base.cos.bo8,0.1882,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,untrained base under the same injection (2026-09-16_base-control@vllm:paper0923)
ood.en.base.bpb,0.6887,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bits per byte of the arm's own text under the untrained base (precompute/nll.py)
ood.en.ex.lid,0.990,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,fastText lid218e top-1 rollout; ceiling 0.859
ood.en.corp10.lid,0.859,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"the classifier's rate on the arm's OWN corpus top-1 windows, i.e. its ceiling"
ood.zh.diff.cos.bo8,0.1831,0.0059,0.1715,0.1945,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bo8 centred minus own-domain corpus top-1; corpus at 10M
ood.zh.diff.verdict,exceeds,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"three-state verdict on the bo8 pair, 10,000-resample percentile CI"
ood.zh.ex.cos.bo8,0.8091,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"Exemplifier bo8, centred both sides"
ood.zh.corp10.cos,0.6260,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,
ood.zh.corp10.mtok,10,,,,,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,the size the arm's own scan reached
ood.zh.base.cos.bo8,0.1835,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,untrained base under the same injection (2026-09-16_base-control@vllm:paper0923)
ood.zh.base.bpb,0.9030,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bits per byte of the arm's own text under the untrained base (precompute/nll.py)
ood.zh.ex.lid,0.725,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,fastText lid218e top-1 rollout; ceiling 0.714
ood.zh.corp10.lid,0.714,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"the classifier's rate on the arm's OWN corpus top-1 windows, i.e. its ceiling"
ood.arb.diff.cos.bo8,0.0720,0.0049,0.0623,0.0816,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bo8 centred minus own-domain corpus top-1; corpus at 10M
ood.arb.diff.verdict,exceeds,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"three-state verdict on the bo8 pair, 10,000-resample percentile CI"
ood.arb.ex.cos.bo8,0.7816,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"Exemplifier bo8, centred both sides"
ood.arb.corp10.cos,0.7096,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,
ood.arb.corp10.mtok,10,,,,,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,the size the arm's own scan reached
ood.arb.base.cos.bo8,0.1927,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,untrained base under the same injection (2026-09-16_base-control@vllm:paper0923)
ood.arb.base.bpb,0.6400,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bits per byte of the arm's own text under the untrained base (precompute/nll.py)
ood.arb.ex.lid,0.707,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,fastText lid218e top-1 rollout; ceiling 0.837
ood.arb.corp10.lid,0.837,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"the classifier's rate on the arm's OWN corpus top-1 windows, i.e. its ceiling"
ood.ces.diff.cos.bo8,0.0847,0.0053,0.0740,0.0950,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bo8 centred minus own-domain corpus top-1; corpus at 10M
ood.ces.diff.verdict,exceeds,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"three-state verdict on the bo8 pair, 10,000-resample percentile CI"
ood.ces.ex.cos.bo8,0.7731,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"Exemplifier bo8, centred both sides"
ood.ces.corp10.cos,0.6884,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,
ood.ces.corp10.mtok,10,,,,,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,the size the arm's own scan reached
ood.ces.base.cos.bo8,0.1788,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,untrained base under the same injection (2026-09-16_base-control@vllm:paper0923)
ood.ces.base.bpb,0.9541,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bits per byte of the arm's own text under the untrained base (precompute/nll.py)
ood.ces.ex.lid,0.600,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,fastText lid218e top-1 rollout; ceiling 0.847
ood.ces.corp10.lid,0.847,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"the classifier's rate on the arm's OWN corpus top-1 windows, i.e. its ceiling"
ood.cmn.diff.cos.bo8,0.1476,0.0057,0.1364,0.1590,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bo8 centred minus own-domain corpus top-1; corpus at 10M
ood.cmn.diff.verdict,exceeds,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"three-state verdict on the bo8 pair, 10,000-resample percentile CI"
ood.cmn.ex.cos.bo8,0.8071,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"Exemplifier bo8, centred both sides"
ood.cmn.corp10.cos,0.6595,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,
ood.cmn.corp10.mtok,10,,,,,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,the size the arm's own scan reached
ood.cmn.base.cos.bo8,0.1970,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,untrained base under the same injection (2026-09-16_base-control@vllm:paper0923)
ood.cmn.base.bpb,1.1189,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bits per byte of the arm's own text under the untrained base (precompute/nll.py)
ood.cmn.ex.lid,0.754,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,fastText lid218e top-1 rollout; ceiling 0.881
ood.cmn.corp10.lid,0.881,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"the classifier's rate on the arm's OWN corpus top-1 windows, i.e. its ceiling"
ood.ell.diff.cos.bo8,0.0112,0.0060,-0.0002,0.0230,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,bo8 centred minus own-domain corpus top-1; corpus at 10M
ood.ell.diff.verdict,inconclusive,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"three-state verdict on the bo8 pair, 10,000-resample percentile CI"
ood.ell.ex.cos.bo8,0.7148,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,"Exemplifier bo8, centred both sides"
ood.ell.corp10.cos,0.7036,,,,512,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,
ood.ell.corp10.mtok,10,,,,,provisional,R4,results/ood.py on 2026-09-23_ood_full @ 2026-09-18_rl-last16-lr5e-7@vllm:paper0923,2026-09-22,the size the arm's own scan reached
