family,sae_key,sae_side,source,maemm,engine,run_tag,stratum,n,n_features,gate,k,ratio_median,ratio_mean,ratio_se_iid,item_fired,feat_firing
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,1,64,128,1.584597,4,0.90011,0.864354,0.029063,0.930908,0.992188
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,1,64,128,1.584597,8,0.943799,0.904647,0.029491,0.930908,0.992188
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,1,64,128,1.584597,16,0.972318,0.942824,0.0297,0.930908,0.992188
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,1,64,128,1.584597,32,0.999948,0.977628,0.030435,0.930908,0.992188
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,1,64,128,1.584597,64,1.029098,1.009652,0.031371,0.930908,0.992188
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,2,64,128,1.584597,1,0.747316,0.741114,0.020135,0.97168,0.992188
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,2,64,128,1.584597,2,0.806261,0.804008,0.020638,0.97168,0.992188
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,2,64,128,1.584597,4,0.85287,0.856327,0.020929,0.97168,0.992188
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,2,64,128,1.584597,8,0.892703,0.89791,0.021243,0.97168,0.992188
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,2,64,128,1.584597,16,0.924231,0.935356,0.02164,0.97168,0.992188
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,2,64,128,1.584597,32,0.963098,0.970623,0.022049,0.97168,0.992188
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,2,64,128,1.584597,64,0.9938,0.999407,0.022474,0.97168,0.992188
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,3,64,128,1.584597,1,0.713927,0.667627,0.022726,0.928833,0.992188
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,3,64,128,1.584597,2,0.776188,0.730718,0.022819,0.928833,0.992188
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,3,64,128,1.584597,4,0.821537,0.785365,0.022747,0.928833,0.992188
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,3,64,128,1.584597,8,0.862273,0.830418,0.022811,0.928833,0.992188
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,3,64,128,1.584597,16,0.906389,0.86925,0.023019,0.928833,0.992188
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,3,64,128,1.584597,32,0.944884,0.904598,0.023482,0.928833,0.992188
sae/l42-1b,qwen36-27b/l42-1b,,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,3,64,128,1.584597,64,0.984506,0.935845,0.023938,0.928833,0.992188
