set,family,arm,source,cosine,n,n_rows,n_clusters,bo_source,k,mean,se_cluster,se_iid
2026-09-21_v3_realact,realact,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_centred,64,486,425,cos_centred.f16 (recomputed),2,0.787346,0.005708,0.00547
2026-09-21_v3_realact,realact,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_centred,64,486,425,cos_centred.f16 (recomputed),4,0.807085,0.005385,0.005134
2026-09-21_v3_realact,realact,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_centred,64,486,425,cos_centred.f16 (recomputed),8,0.822147,0.005081,0.004818
2026-09-21_v3_realact,realact,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_centred,64,486,425,cos_centred.f16 (recomputed),16,0.83331,0.004854,0.004588
2026-09-21_v3_realact,realact,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_centred,64,486,425,cos_centred.f16 (recomputed),32,0.842262,0.004621,0.004369
2026-09-21_v3_realact,realact,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_centred,64,486,425,cos_centred.f16 (recomputed),64,0.849842,0.004395,0.004163
2026-09-21_v3_realact,realact,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw,64,486,425,per_target.jsonl,1,0.88598,0.003051,0.003003
2026-09-21_v3_realact,realact,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw,64,486,425,per_target.jsonl,2,0.899894,0.00286,0.002793
2026-09-21_v3_realact,realact,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw,64,486,425,per_target.jsonl,4,0.909505,0.002692,0.002615
2026-09-21_v3_realact,realact,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw,64,486,425,per_target.jsonl,8,0.916792,0.002549,0.002461
2026-09-21_v3_realact,realact,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw,64,486,425,per_target.jsonl,16,0.922205,0.002442,0.002347
2026-09-21_v3_realact,realact,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw,64,486,425,per_target.jsonl,32,0.926496,0.002347,0.002253
2026-09-21_v3_realact,realact,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw,64,486,425,per_target.jsonl,64,0.930094,0.002252,0.002165
2026-09-21_v3_realact_long,realact_long,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_centred,64,512,512,cos_centred.f16 (recomputed),1,0.699148,0.006278,0.006114
2026-09-21_v3_realact_long,realact_long,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_centred,64,512,512,cos_centred.f16 (recomputed),2,0.730122,0.006066,0.005917
2026-09-21_v3_realact_long,realact_long,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_centred,64,512,512,cos_centred.f16 (recomputed),4,0.751462,0.005859,0.005711
2026-09-21_v3_realact_long,realact_long,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_centred,64,512,512,cos_centred.f16 (recomputed),8,0.76689,0.00567,0.005516
2026-09-21_v3_realact_long,realact_long,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_centred,64,512,512,cos_centred.f16 (recomputed),16,0.778711,0.005507,0.005349
2026-09-21_v3_realact_long,realact_long,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_centred,64,512,512,cos_centred.f16 (recomputed),32,0.788647,0.005336,0.005176
2026-09-21_v3_realact_long,realact_long,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_centred,64,512,512,cos_centred.f16 (recomputed),64,0.796978,0.005181,0.005023
2026-09-21_v3_realact_long,realact_long,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw,64,512,512,per_target.jsonl,1,0.435958,0.008212,0.0082
2026-09-21_v3_realact_long,realact_long,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw,64,512,512,per_target.jsonl,2,0.457822,0.008093,0.008095
2026-09-21_v3_realact_long,realact_long,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw,64,512,512,per_target.jsonl,4,0.473655,0.00798,0.007992
2026-09-21_v3_realact_long,realact_long,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw,64,512,512,per_target.jsonl,8,0.485613,0.007881,0.007898
2026-09-21_v3_realact_long,realact_long,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw,64,512,512,per_target.jsonl,16,0.494928,0.007793,0.007822
2026-09-21_v3_realact_long,realact_long,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw,64,512,512,per_target.jsonl,32,0.502752,0.007721,0.007761
2026-09-21_v3_realact_long,realact_long,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw,64,512,512,per_target.jsonl,64,0.509368,0.007623,0.007667
2026-09-21_v3_subspace,bsf,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw,64,512,512,per_target.jsonl,1,0.317699,0.009805,0.009697
2026-09-21_v3_subspace,bsf,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw,64,512,512,per_target.jsonl,2,0.332829,0.009699,0.009607
2026-09-21_v3_subspace,bsf,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw,64,512,512,per_target.jsonl,4,0.345125,0.009579,0.009503
2026-09-21_v3_subspace,bsf,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw,64,512,512,per_target.jsonl,8,0.355224,0.009459,0.009392
2026-09-21_v3_subspace,bsf,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw,64,512,512,per_target.jsonl,16,0.363893,0.009334,0.009269
2026-09-21_v3_subspace,bsf,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw,64,512,512,per_target.jsonl,32,0.371142,0.009225,0.009164
2026-09-21_v3_subspace,bsf,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw,64,512,512,per_target.jsonl,64,0.377793,0.009117,0.009057
2026-09-21_v3_subspace,jlens,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw,64,512,512,per_target.jsonl,1,0.105807,0.002002,0.002018
2026-09-21_v3_subspace,jlens,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw,64,512,512,per_target.jsonl,2,0.111229,0.00203,0.002048
2026-09-21_v3_subspace,jlens,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw,64,512,512,per_target.jsonl,4,0.115783,0.002053,0.002073
2026-09-21_v3_subspace,jlens,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw,64,512,512,per_target.jsonl,8,0.119689,0.002073,0.002094
2026-09-21_v3_subspace,jlens,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw,64,512,512,per_target.jsonl,16,0.123219,0.002094,0.002114
2026-09-21_v3_subspace,jlens,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw,64,512,512,per_target.jsonl,32,0.126347,0.002115,0.002136
2026-09-21_v3_subspace,jlens,2026-09-18_rl-last16-lr5e-7@vllm,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw,64,512,512,per_target.jsonl,64,0.12934,0.002145,0.002167
