doc,coverage_n7,coverage_n13
823,0,0
824,0.001885,0.000118
825,0,0
826,0,0
827,0,0
828,0,0
829,0,0
830,0.017354,0
831,0,0
832,0,0
833,0.001412,0
834,0.002475,0
835,0,0
836,0,0
837,0.004613,0
838,0.001451,0
839,0.066667,0
840,0.003425,0
841,0,0
842,0.006897,0
843,0,0
844,0,0
845,0,0
846,0,0
847,0.003871,0
848,0.007519,0
849,0,0
850,0.001961,0
851,0,0
852,0,0
853,0.053167,0.022779
854,0,0
855,0,0
856,0.034783,0
857,0,0
858,0.001667,0
859,0,0
860,0,0
861,0.002151,0
862,0,0
863,0,0
864,0.046358,0.016722
865,0,0
866,0,0
867,0,0
868,0.026139,0.013894
869,0,0
870,0,0
871,0.008529,0
872,0,0
873,0.001376,0
874,0,0
875,0.002721,0
876,0.009524,0
877,0.005814,0
878,0,0
879,0.11535,0.038359
880,0.001604,0
881,0.003752,0
882,0,0
883,0,0
884,0.00663,0
885,0.003322,0
886,0,0
887,0.004202,0
888,0,0
889,0,0
890,0.001105,0
891,0,0
892,0,0
893,0,0
894,0,0
895,0,0
896,0,0
897,0,0
898,0.013043,0
899,0,0
900,0,0
901,0.002574,0
902,0.023256,0
903,0,0
904,0,0
905,0,0
906,0.001164,0
907,0,0
908,0,0
909,0,0
910,0,0
911,0.002941,0
912,0,0
913,0.003922,0
914,0.002985,0
915,0,0
916,0,0
917,0.00071,0
918,0.006224,0
919,0.001479,0
920,0,0
921,0.001601,0
922,0,0
923,0.007042,0
924,0,0
925,0,0
926,0.001389,0
927,0,0
928,0,0
929,0.002375,0
930,0,0
931,0.002732,0
932,0,0
933,0,0
934,0,0
935,0.016922,0.0042
936,0.127253,0.082177
937,0,0
938,0,0
939,0.002195,0
940,0,0
941,0.001282,0
942,0.004421,0
943,0.002236,0
944,0,0
945,0,0
946,0.002976,0
947,0,0
948,0,0
949,0,0
950,0,0
951,0.315534,0.251232
952,0.003759,0
953,0,0
954,0.007812,0
955,0,0
956,0,0
957,0,0
958,0.003861,0
959,0.000729,0
960,0,0
961,0,0
962,0.05618,0
963,0,0
964,0,0
965,0.004,0
966,0,0
967,0.011364,0
968,0,0
969,0.002786,0
970,0,0
971,0,0
972,0.014706,0
973,0,0
974,0.011236,0
975,0,0
976,0,0
977,0.004769,0
978,0.009217,0.000462
979,0.000237,0
980,0.021798,0.00554
981,0,0
982,0.007407,0
983,0.002151,0
984,0.0625,0
985,0,0
986,0.005181,0
987,0,0
988,0.007407,0
989,0.006849,0
990,0,0
991,0.022412,0.009667
992,0,0
993,0,0
994,0.036585,0.0125
995,0,0
996,0.002262,0
997,0.001241,0
998,0,0
999,0.078358,0.053435
1000,0,0
1001,0.006954,0
1002,0,0
1003,0.00611,0
1004,0.012903,0
1005,0,0
1006,0.014085,0
1007,0.000469,0
1008,0.000936,0
1009,0.000962,0
1010,0.004651,0
1011,0,0
1012,0,0
1013,0.00454,0
1014,0.001466,0
1015,0,0
1016,0.004464,0
1017,0.009615,0
1018,0,0
1019,0.007194,0
1020,0,0
1021,0,0
1022,0,0
1023,0.004785,0
1024,0,0
1025,0,0
1026,0,0
1027,0,0
1028,0.003284,0
1029,0,0
1030,0.004894,0
1031,0.008197,0
1032,0,0
1033,0,0
1034,0.004231,0
1035,0.00087,0
1036,0,0
1037,0,0
1038,0,0
1039,0.006024,0
1040,0.010582,0
1041,0,0
1042,0.002498,0
1043,0.003906,0
1044,0,0
1045,0.002646,0
1046,0.002959,0
1047,0,0
1048,0.002193,0
1049,0,0
1050,0.003215,0
1051,0.001088,0
1052,0.002967,0
1053,0,0
1054,0,0
1055,0,0
1056,0.018957,0.013336
1057,0,0
1058,0,0
